product_images,gender,product_category,product_name,details,category_type,material,product_subtype,weather_feature,coverage_feature,combined_features,text_complex,weather_label
"[{'https://static.zara.net/photos///2023/I/0/1/p/7901/101/712/2/w/448/7901101712_1_1_1.jpg?ts=1689249172162': 'Image 0 of LONG KNIT SKIRT WITH FRINGING from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7901/101/712/2/w/448/7901101712_2_1_1.jpg?ts=1689249169263': 'Image 1 of LONG KNIT SKIRT WITH FRINGING from Zara'}]",women,SKIRTS,long knit skirt fringing,highwaist skirt fringe hem,Bottom,knit,skirt,knit,long,knit skirt knit long,This is a long knit skirt fringing made of knit with long coverage. It is suitable for cold weather.,cold weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/9598/109/200/2/w/448/9598109200_1_1_1.jpg?ts=1688996666630': 'Image 0 of KNIT SKIRT WITH BUTTONS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9598/109/200/2/w/448/9598109200_2_1_1.jpg?ts=1688996666320': 'Image 1 of KNIT SKIRT WITH BUTTONS from Zara'}]",women,SKIRTS,knit skirt button,highwaist skirt elasticate waistband flap detail false button,Bottom,knit,skirt,knit,other,knit skirt knit,This is a knit skirt button made of knit. It is suitable for cold weather.,cold weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1509/108/808/12/w/448/1509108808_1_1_1.jpg?ts=1687514415195': 'Image 0 of METALLIC THREAD KNIT STRAIGHT LEG TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1509/108/808/12/w/448/1509108808_2_1_1.jpg?ts=1687514415701': 'Image 1 of METALLIC THREAD KNIT STRAIGHT LEG TROUSERS from Zara'}]",women,TROUSERS,metallic thread knit straight leg trouser,semisheer highwaist trouser elasticate waistband straightleg designthis garment line,Bottom,knit semisheer,trouser,knit,other,knit semisheer trouser knit,This is a metallic thread knit straight leg trouser made of knit semisheer. It is suitable for cold weather.,cold weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/5802/077/712/17/w/448/5802077712_1_1_1.jpg?ts=1687346089733': 'Image 0 of POINTELLE KNIT TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5802/077/712/17/w/448/5802077712_2_1_1.jpg?ts=1687346090470': 'Image 1 of POINTELLE KNIT TROUSERS from Zara'}]",women,TROUSERS,pointelle knit trouser,highwaist trouser elastic waistband straightleg design,Bottom,knit,trouser,knit,other,knit trouser knit,This is a pointelle knit trouser made of knit. It is suitable for cold weather.,cold weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/6427/024/303/17/w/448/6427024303_1_1_1.jpg?ts=1686756584151': 'Image 0 of KNOTTED KNIT SKIRT WITH METALLIC THREAD from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6427/024/303/2/w/448/6427024303_6_1_1.jpg?ts=1686238138148': 'Image 1 of KNOTTED KNIT SKIRT WITH METALLIC THREAD from Zara'}]",women,SKIRTS,knot knit skirt metallic thread,midi skirt knot slit hem metallic thread detail,Bottom,knit,skirt,knit,midi,knit skirt knit midi,This is a knot knit skirt metallic thread made of knit with midi coverage. It is suitable for cold weather.,cold weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/3920/038/250/18/w/448/3920038250_1_1_1.jpg?ts=1686913502381': 'Image 0 of KNIT CUT-OUT SKIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3920/038/250/18/w/448/3920038250_2_1_1.jpg?ts=1686913502193': 'Image 1 of KNIT CUT-OUT SKIRT from Zara'}]",women,SKIRTS,knit cutout skirt,highwaist midi skirt feature elasticate waistband cutout detail rhinestone appliqué slit hem,Bottom,knit,skirt,knit,midi,knit skirt knit midi,This is a knit cutout skirt made of knit with midi coverage. It is suitable for cold weather.,cold weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/6771/096/800/18/w/448/6771096800_1_1_1.jpg?ts=1686830787243': 'Image 0 of KNIT CROCHET MINI SKIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6771/096/800/18/w/448/6771096800_2_1_1.jpg?ts=1686830786705': 'Image 1 of KNIT CROCHET MINI SKIRT from Zara'}]",women,SKIRTS,knit crochet mini skirt,highwaist short skirt,Bottom,knit,short skirt,knit,mini short,knit short skirt knit mini short,This is a knit crochet mini skirt made of knit with mini short coverage. It is suitable for cold weather.,cold weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/8146/114/303/2/w/448/8146114303_1_1_1.jpg?ts=1685617116281': 'Image 0 of METALLIC THREAD KNIT SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8146/114/303/2/w/448/8146114303_6_1_1.jpg?ts=1686148947706': 'Image 1 of METALLIC THREAD KNIT SHORTS from Zara'}]",women,SHORTS_SKORTS,metallic thread knit short,highwaist short feature adjustable elastic waistband drawstre lining,Bottom,knit,short,knit,short,knit short knit short,This is a metallic thread knit short made of knit with short coverage. It is suitable for cold weather.,cold weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/6427/022/050/2/w/448/6427022050_1_1_1.jpg?ts=1686296885641': 'Image 0 of TIE-DYE KNIT MIDI SKIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6427/022/050/2/w/448/6427022050_2_1_1.jpg?ts=1686296885230': 'Image 1 of TIE-DYE KNIT MIDI SKIRT from Zara'}]",women,SKIRTS,tiedye knit midi skirt,highwaist pencil skirt elastic waistband,Bottom,knit,pencil skirt,knit,midi,knit pencil skirt knit midi,This is a tiedye knit midi skirt made of knit with midi coverage. It is suitable for cold weather.,cold weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/8417/802/485/2/w/448/8417802485_2_1_1.jpg?ts=1692875624937': 'Image 0 of FADED-EFFECT PLUSH TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3253/822/485/2/w/448/3253822485_6_1_1.jpg?ts=1692772712287': 'Image 1 of FADED-EFFECT PLUSH TROUSERS from Zara'}]",women,TROUSERS,fadedeffect plush trouser,fade cotton trouser feature elasticate drawstring waistband seamless hem,Bottom,cotton,trouser,other,other,cotton trouser,This is a fadedeffect plush trouser made of cotton. It is suitable for mild or cool weather.,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/6050/340/802/2/w/448/6050340802_1_1_1.jpg?ts=1692344969064': 'Image 0 of FADED-EFFECT RIBBED TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6050/340/802/2/w/448/6050340802_2_1_1.jpg?ts=1692344968889': 'Image 1 of FADED-EFFECT RIBBED TROUSERS from Zara'}]",women,TROUSERS,fadedeffect rib trouser,fade highwaist trouser cotton blend feature elasticate waistband vent hem,Bottom,cotton,trouser,other,other,cotton trouser,This is a fadedeffect rib trouser made of cotton. It is suitable for mild or cool weather.,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/6050/344/802/2/w/448/6050344802_1_1_1.jpg?ts=1692344969904': 'Image 0 of FADED-EFFECT RIPPED PLUSH TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6050/344/802/2/w/448/6050344802_2_1_1.jpg?ts=1692344969714': 'Image 1 of FADED-EFFECT RIPPED PLUSH TROUSERS from Zara'}]",women,TROUSERS,fadedeffect rip plush trouser,fadedeffect highwaist trouser cotton blend feature elasticate waistband rip detail,Bottom,cotton,trouser,other,other,cotton trouser,This is a fadedeffect rip plush trouser made of cotton. It is suitable for mild or cool weather.,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/4424/457/802/2/w/448/4424457802_1_1_1.jpg?ts=1688546817794': 'Image 0 of WASHED EFFECT TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4424/457/802/2/w/448/4424457802_2_1_1.jpg?ts=1688546874916': 'Image 1 of WASHED EFFECT TROUSERS from Zara'}]",women,TROUSERS,wash effect trouser,fade lowrise trouser elasticate waistband pocket wideleg design,Bottom,other,trouser,other,other,trouser,This is a wash effect trouser,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/4174/629/250/2/w/448/4174629250_1_1_1.jpg?ts=1689337195931': 'Image 0 of HEAVY COTTON BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4174/629/250/2/w/448/4174629250_2_1_1.jpg?ts=1689337195005': 'Image 1 of HEAVY COTTON BERMUDA SHORTS from Zara'}]",women,SHORTS,heavy cotton bermuda short,midrise bermuda short cotton blend feature elasticate drawstring waistband pocket,Bottom,cotton,bermuda short,other,short,cotton bermuda short short,This is a heavy cotton bermuda short made of cotton with short coverage. It is suitable for warm or hot weather.,warm weather
"[{'https://static.zara.net/photos///2023/V/0/1/p/4174/359/800/2/w/448/4174359800_1_1_1.jpg?ts=1682423595256': 'Image 0 of CARROT JOGGING TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/V/0/1/p/4174/359/800/2/w/448/4174359800_2_1_1.jpg?ts=1682423594831': 'Image 1 of CARROT JOGGING TROUSERS from Zara'}]",women,TROUSERS,carrot jogging trouser,highwaist trouser feature adjustable elastic waistband drawstring pocket,Bottom,other,trouser,other,other,trouser,This is a carrot jogging trouser,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/7901/642/800/2/w/448/7901642800_1_1_1.jpg?ts=1689168868825': 'Image 0 of KNIT SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7901/642/800/2/w/448/7901642800_2_1_1.jpg?ts=1689168869352': 'Image 1 of KNIT SHORTS from Zara'}]",women,SHORTS_SKORTS,knit short,midrise short feature adjustable elasticate waistband drawstring,Bottom,knit,short,knit,short,knit short knit short,This is a knit short made of knit with short coverage. It is suitable for cold weather.,cold weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/0108/222/407/2/w/448/0108222407_1_1_1.jpg?ts=1689762518756': 'Image 0 of Z1975 STRAIGHT-FIT HIGH-WAIST LONG LENGTH JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/0108/222/407/2/w/448/0108222407_2_1_1.jpg?ts=1689937335160': 'Image 1 of Z1975 STRAIGHT-FIT HIGH-WAIST LONG LENGTH JEANS from Zara'}]",women,JEANS,z straightfit highwaist long length jean,highwaist regular reg long length rigid highwaist jean pocket fade effect straightleg longleg design zip fly button fasteningview,Bottom,other,jean,other,long longleg,jean long longleg,This is a z straightfit highwaist long length jean with long longleg coverage. It is suitable for mild or cool weather.,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/5862/165/407/2/w/448/5862165407_1_1_1.jpg?ts=1688573296923': 'Image 0 of Z1975 HIGH-WAIST BAGGY PAPERBAG JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5862/165/407/2/w/448/5862165407_2_1_1.jpg?ts=1688573296894': 'Image 1 of Z1975 HIGH-WAIST BAGGY PAPERBAG JEANS from Zara'}]",women,JEANS,z highwaist baggy paperbag jean,highrise baggy paperbag carrot leg ankle rigidhighwaist jean elasticate waistband gather detail feature pocket rear patch pocket turnup hem zip button fasten frontview,Bottom,other,jean,other,other,jean,This is a z highwaist baggy paperbag jean,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/9213/230/400/2/w/448/9213230400_1_1_1.jpg?ts=1689240019724': 'Image 0 of TRF LOOSE-FIT MID-RISE JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9213/230/400/2/w/448/9213230400_2_1_1.jpg?ts=1689240021322': 'Image 1 of TRF LOOSE-FIT MID-RISE JEANS from Zara'}]",women,JEANS,trf loosefit midrise jean,loosefit midrise lengthmidrise jean fivepocket design long straight leg zip fly metal button fastening,Bottom,other,jean,other,long,jean long,This is a trf loosefit midrise jean with long coverage. It is suitable for mild or cool weather.,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/6895/075/400/2/w/448/6895075400_1_1_1.jpg?ts=1688726747764': 'Image 0 of PRINTED MIDI SKIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6895/075/400/2/w/448/6895075400_2_1_1.jpg?ts=1688726748747': 'Image 1 of PRINTED MIDI SKIRT from Zara'}]",women,SKIRTS,print midi skirt,highwaist midi skirt feature adjustable elastic waistband drawstring bead appliqué detail,Bottom,other,skirt,other,midi,skirt midi,This is a print midi skirt with midi coverage,cool weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/4164/101/512/2/w/489/4164101512_1_1_1.jpg?ts=1688574158110': 'Image 0 of 100% LINEN PLEATED TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4164/101/512/2/w/489/4164101512_2_1_1.jpg?ts=1688574158637': 'Image 1 of 100% LINEN PLEATED TROUSERS from Zara'}]",men,TROUSERS,linen pleated trouser,regular fit trouser linen fabric waistband pleated detail pocket rear jetted pocket zip fly button fasteningorigin special collectionview,Bottom,linen,trouser,other,other,linen trouser,This is a linen pleated trouser made of linen. It is suitable for warm or hot weather.,warm weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/6688/480/423/2/w/489/6688480423_1_1_1.jpg?ts=1688570564616': 'Image 0 of REGULAR FIT JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6688/480/423/2/w/489/6688480423_2_1_1.jpg?ts=1688570565153': 'Image 1 of REGULAR FIT JEANS from Zara'}]",men,JEANS,regular fit jean,regular fit jean cotton denim pocket fade effect buttonup frontorigin special collection,Bottom,cotton denim,denim jean,other,other,cotton denim denim jean,This is a regular fit jean made of cotton denim. It is suitable for mild or cool weather.,mild weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/1564/101/401/2/w/489/1564101401_1_1_1.jpg?ts=1689605441849': 'Image 0 of 100% LINEN SUIT TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1564/101/401/2/w/489/1564101401_2_1_1.jpg?ts=1689605443295': 'Image 1 of 100% LINEN SUIT TROUSERS from Zara'}]",men,TROUSERS,linen suit trouser,straight fit trouser linen pocket button jetted pocket zip fly button fastening,Bottom,linen,suit trouser,other,other,linen suit trouser,This is a linen suit trouser made of linen. It is suitable for warm or hot weather.,warm weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/6917/306/818/2/w/448/6917306818_2_1_1.jpg?ts=1691079127613': 'Image 0 of STRAIGHT FIT CARGO TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6917/306/818/2/w/0/6917306818_1_1_1.jpg?ts=1691079126929': 'Image 1 of STRAIGHT FIT CARGO TROUSERS from Zara'}]",men,TROUSERS,straight fit cargo trouser,straight fit trouser pocket flap pocket patch pocket flap leg adjustable hem tab zip fly button fastening,Bottom,other,trouser,other,other,trouser,This is a straight fit cargo trouser,cool weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/6332/616/807/2/w/448/6332616807_1_1_1.jpg?ts=1692959379367': 'Image 0 of PLEATED TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6332/616/807/2/w/448/6332616807_2_1_1.jpg?ts=1692959379397': 'Image 1 of PLEATED TROUSERS from Zara'}]",men,TROUSERS,pleated trouser,relaxed fit trouser waistband pleated detail pocket rear welt pocket zip fly button fastening,Bottom,other,trouser,other,other,trouser,This is a pleated trouser,cool weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/0706/605/800/2/w/448/0706605800_1_1_1.jpg?ts=1689763216484': 'Image 0 of PLEATED TROUSERS WITH BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0706/605/800/2/w/448/0706605800_2_1_1.jpg?ts=1689763217443': 'Image 1 of PLEATED TROUSERS WITH BELT from Zara'}]",men,TROUSERS,pleated trouser belt,relaxed fit trouser feature waist pleat belt fabric pocket rear welt pocket zip button fastening,Bottom,other,belt trouser,other,other,belt trouser,This is a pleated trouser belt,cool weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/2553/310/916/2/w/448/2553310916_1_1_1.jpg?ts=1692776030192': 'Image 0 of COMFORT FIT JOGGER WAIST TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2553/310/916/2/w/448/2553310916_2_1_1.jpg?ts=1692776029772': 'Image 1 of COMFORT FIT JOGGER WAIST TROUSERS from Zara'}]",men,TROUSERS,comfort fit jogger waist trouser,trouser stretchy fabric adjustable inner elasticate waistband pocket,Bottom,other,trouser,other,other,trouser,This is a comfort fit jogger waist trouser,cool weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/6861/313/800/2/w/448/6861313800_1_1_1.jpg?ts=1692776632816': 'Image 0 of RELAXED-FIT TROUSERS WITH PLEATS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6861/313/800/2/w/448/6861313800_2_1_1.jpg?ts=1692776632712': 'Image 1 of RELAXED-FIT TROUSERS WITH PLEATS from Zara'}]",men,TROUSERS,relaxedfit trouser pleat,relaxedfit trouser waistband pleated detail pocket rear pocket buttoned flap zip fly button fastening,Bottom,other,trouser,other,other,trouser,This is a relaxedfit trouser pleat,cool weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/5830/542/800/2/w/448/5830542800_1_1_1.jpg?ts=1689334797751': 'Image 0 of 100% WOOL SUIT TROUSERS - LIMITED EDITION from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5830/542/800/2/w/448/5830542800_2_1_1.jpg?ts=1689334798050': 'Image 1 of 100% WOOL SUIT TROUSERS - LIMITED EDITION from Zara'}]",men,TROUSERS,wool suit trouser limited edition,relaxed fit trouser elasticate waistband pleated detail pocket rear jetted pocket hide metal hook zip fly fastening,Bottom,wool,suit trouser,other,other,wool suit trouser,This is a wool suit trouser limited edition made of wool. It is suitable for cold weather.,cold weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/5956/218/800/2/w/448/5956218800_1_1_1.jpg?ts=1691507789721': 'Image 0 of 100% WOOL SUIT TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5956/218/800/2/w/448/5956218800_2_1_1.jpg?ts=1691507789919': 'Image 1 of 100% WOOL SUIT TROUSERS from Zara'}]",men,TROUSERS,wool suit trouser,slimfit trouser italian wool fabric pocket welt pocket button hide metal hook zip fly fasten,Bottom,wool,suit trouser,other,other,wool suit trouser,This is a wool suit trouser made of wool. It is suitable for cold weather.,cold weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/5956/544/706/2/w/448/5956544706_1_1_1.jpg?ts=1692785577934': 'Image 0 of 100% WOOL SUIT TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5956/544/706/2/w/448/5956544706_2_1_1.jpg?ts=1692785579174': 'Image 1 of 100% WOOL SUIT TROUSERS from Zara'}]",men,TROUSERS,wool suit trouser,slim fit trouser italian wool fabric pocket rear welt pocket zip fly crossover button fastening,Bottom,wool,suit trouser,other,other,wool suit trouser,This is a wool suit trouser made of wool. It is suitable for cold weather.,cold weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/0706/577/706/2/w/0/0706577706_1_1_1.jpg?ts=1689670151064': 'Image 0 of RELAXED-FIT SUIT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0706/577/706/2/w/0/0706577706_2_1_1.jpg?ts=1689670152116': 'Image 1 of RELAXED-FIT SUIT from Zara'}]",men,TROUSERS,relaxedfit suit,relaxed fit trouser pocket rear welt pocket zip fly button fastening,Bottom,other,suit trouser,other,other,suit trouser,This is a relaxedfit suit,cool weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/5826/507/800/2/w/448/5826507800_1_1_1.jpg?ts=1689675754638': 'Image 0 of SUIT TROUSERS WITH IRREGULAR TRIMS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5826/507/800/2/w/0/5826507800_2_1_1.jpg?ts=1689675755494': 'Image 1 of SUIT TROUSERS WITH IRREGULAR TRIMS from Zara'}]",men,TROUSERS,suit trouser irregular trim,oversize fit trouser adjustable elasticate waistband drawstre pleated detail pocket rear welt pocket zip fly button fastening,Bottom,other,suit trouser,other,other,suit trouser,This is a suit trouser irregular trim,warm weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/5624/086/819/2/w/448/5624086819_1_1_1.jpg?ts=1689695238840': 'Image 0 of STRAIGHT FIT SUIT TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5624/086/819/2/w/448/5624086819_2_1_1.jpg?ts=1689695238896': 'Image 1 of STRAIGHT FIT SUIT TROUSERS from Zara'}]",men,TROUSERS,straight fit suit trouser,straightfit trouser pocket welt pocket zip fly button fastening,Bottom,other,suit trouser,other,other,suit trouser,This is a straight fit suit trouser,warm weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/6335/564/800/2/w/448/6335564800_1_1_1.jpg?ts=1692956954188': 'Image 0 of RELAXED FIT CARGO TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6335/564/800/2/w/448/6335564800_2_1_1.jpg?ts=1692956953537': 'Image 1 of RELAXED FIT CARGO TROUSERS from Zara'}]",men,TROUSERS,relaxed fit cargo trouser,relaxed fit trouser elasticate waistband adjustable drawstre pocket rear welt pocket patch pocket leg,Bottom,other,trouser,other,other,trouser,This is a relaxed fit cargo trouser,cool weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/6861/251/757/2/w/448/6861251757_1_1_1.jpg?ts=1692962622507': 'Image 0 of TEXTURED COMFORT TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6861/251/757/2/w/448/6861251757_2_1_1.jpg?ts=1692962620959': 'Image 1 of TEXTURED COMFORT TROUSERS from Zara'}]",men,TROUSERS,texture comfort trouser,slimfit trouser twoway stretchy fabric pocket rear welt pocket button detail zip fly button fastening,Bottom,other,trouser,other,other,trouser,This is a texture comfort trouser,cool weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/6462/352/605/2/w/448/6462352605_1_1_1.jpg?ts=1692951284198': 'Image 0 of FADED JOGGERS WITH RIPS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6462/352/605/2/w/448/6462352605_2_1_1.jpg?ts=1692951291882': 'Image 1 of FADED JOGGERS WITH RIPS from Zara'}]",men,TROUSERS,fade jogger rip,widefit trouser elastic drawstring waistband pocket rear patch pocket rippedeffect trim vent hem,Bottom,other,trouser,other,other,trouser,This is a fade jogger rip,cool weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/5070/307/803/2/w/448/5070307803_1_1_1.jpg?ts=1691072083790': 'Image 0 of TECHNICAL PARACHUTE TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5070/307/803/2/w/448/5070307803_2_1_1.jpg?ts=1691072085799': 'Image 1 of TECHNICAL PARACHUTE TROUSERS from Zara'}]",men,TROUSERS,technical parachute trouser,relaxed fit trouser technical fabric adjustable elasticate waistband inside drawstring elastic side pocket welt pocket,Bottom,other,trouser,other,other,trouser,This is a technical parachute trouser,cool weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/0761/389/706/2/w/448/0761389706_1_1_1.jpg?ts=1691486099804': 'Image 0 of WIDE FIT JOGGER WAIST TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0761/389/706/2/w/448/0761389706_2_1_1.jpg?ts=1691486099507': 'Image 1 of WIDE FIT JOGGER WAIST TROUSERS from Zara'}]",men,TROUSERS,wide fit jogger waist trouser,wide fit trouser cotton fabric adjustable elasticate waistband drawstre pocket rear patch pocket detail,Bottom,cotton,trouser,other,other,cotton trouser,This is a wide fit jogger waist trouser made of cotton. It is suitable for mild or cool weather.,mild weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/1564/711/800/2/w/448/1564711800_1_1_1.jpg?ts=1689605444912': 'Image 0 of SLIM FIT SUIT TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1564/711/800/2/w/448/1564711800_2_1_1.jpg?ts=1689605444749': 'Image 1 of SLIM FIT SUIT TROUSERS from Zara'}]",men,TROUSERS,slim fit suit trouser,slim fit trouser pocket rear welt pocket zip fly button fastening,Bottom,other,suit trouser,other,other,suit trouser,This is a slim fit suit trouser,warm weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/1564/351/708/2/w/448/1564351708_1_1_1.jpg?ts=1689605443936': 'Image 0 of SLIM FIT SUIT TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1564/351/708/2/w/448/1564351708_2_1_1.jpg?ts=1689605446242': 'Image 1 of SLIM FIT SUIT TROUSERS from Zara'}]",men,TROUSERS,slim fit suit trouser,slim fit trouser feature pocket rear jetted pocket zip fly button fastening,Bottom,other,suit trouser,other,other,suit trouser,This is a slim fit suit trouser,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/0108/421/709/2/w/448/0108421709_1_1_1.jpg?ts=1690442728649': 'Image 0 of CARGO TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/0108/421/709/2/w/448/0108421709_2_1_1.jpg?ts=1690442724140': 'Image 1 of CARGO TROUSERS from Zara'}]",men,TROUSERS,cargo trouser,relaxed fit trouser elasticate waistband adjustable drawstre pocket rear welt pocket patch pocket flap leg cuff elasticate hem,Bottom,other,trouser,other,other,trouser,This is a cargo trouser,cool weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/5862/331/505/2/w/448/5862331505_1_1_1.jpg?ts=1690543155741': 'Image 0 of SOFT CARGO TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5862/331/505/2/w/448/5862331505_2_1_1.jpg?ts=1690543155971': 'Image 1 of SOFT CARGO TROUSERS from Zara'}]",men,TROUSERS,soft cargo trouser,slim fit trouser elasticate waistband adjustable drawstre pocket rear welt pocket patch pocket flap leg cuff elasticate hem,Bottom,other,trouser,other,other,trouser,This is a soft cargo trouser,cool weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/1538/302/916/2/w/448/1538302916_1_1_1.jpg?ts=1686065081362': 'Image 0 of 100% LINEN TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1538/302/916/2/w/448/1538302916_2_1_1.jpg?ts=1686065081085': 'Image 1 of 100% LINEN TROUSERS from Zara'}]",men,TROUSERS,linen trouser,trouser linen fabric elasticate waistband pocket welt pocket zip fly button fastening,Bottom,linen,trouser,other,other,linen trouser,This is a linen trouser made of linen. It is suitable for warm or hot weather.,warm weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/4468/003/052/2/w/448/4468003052_1_1_1.jpg?ts=1689675754012': 'Image 0 of 100% LINEN SUIT TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4468/003/052/2/w/448/4468003052_2_1_1.jpg?ts=1689675754075': 'Image 1 of 100% LINEN SUIT TROUSERS from Zara'}]",men,TROUSERS,linen suit trouser,regularfit trouser pocket welt pocket zip fly button fastening,Bottom,linen,suit trouser,other,other,linen suit trouser,This is a linen suit trouser made of linen. It is suitable for warm or hot weather.,warm weather
"[{'https://static.zara.net/photos///2023/I/0/2/p/4471/003/251/2/w/448/4471003251_1_1_1.jpg?ts=1689605443375': 'Image 0 of 100% LINEN SUIT TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4471/003/251/2/w/448/4471003251_2_1_1.jpg?ts=1689605445944': 'Image 1 of 100% LINEN SUIT TROUSERS from Zara'}]",men,TROUSERS,linen suit trouser,regular fit trouser waist pleat pocket rear welt pocket zip fly button fastening,Bottom,linen,suit trouser,other,other,linen suit trouser,This is a linen suit trouser made of linen. It is suitable for warm or hot weather.,warm weather
