gender,product_category,product_name,details,category_type,combined_features,text,weather_label
women,TROUSERS,straight fit trouser,highwaist trouser pocket false rear welt pocket straightleg design zip fly inside button metal hook fasten,Bottom,trouser,trouser straight fit trouser,10-15°C cool weather
women,TROUSERS,satin trouser zips,highwaist trouser belt loop pocket patch pocket leg false rear welt pocket gather detail knee adjustable hem elastic drawstring stopper fastening metal zip,Bottom,satin belt trouser,satin belt trouser satin trouser zips,10-15°C cool weather
women,TROUSERS,contrast linen blend trouser,midrise trouser linen blend contrast waistband pocket zip button metal hook fasten,Bottom,linen trouser,linen trouser contrast linen blend trouser,10-15°C cool weather
women,TROUSERS,midrise cargo trouser,midrise trouser pocket patch pocket leg flap detail zip fly metallic button fastening,Bottom,trouser,trouser midrise cargo trouser,10-15°C cool weather
women,TROUSERS,print pyjama bottom,semisheer midrise trouser viscose adjustable drawstre waistband pocket wideleg design,Bottom,semisheer viscose trouser,semisheer viscose trouser print pyjama bottom,10-15°C cool weather
women,TROUSERS,belt fulllength trouser,highwaist trouser inseam pocket flap pocket belt fabric metal buckle dart detail hem contrast button zip inside button fastening,Bottom,belt trouser,belt trouser belt fulllength trouser,10-15°C cool weather
women,TROUSERS,cargo trouser lace trim,midrise trouser elasticate waistband belt loop pocket patch pocket flap pleat detail knee adjustable hem elastic drawstring stopper zip fly button fastening,Bottom,belt trouser,belt trouser cargo trouser lace trim,10-15°C cool weather
women,TROUSERS,soft wideleg trouser,highwaist trouser elastic waistband wideleg design seamless hem,Bottom,trouser,trouser soft wideleg trouser,10-15°C cool weather
women,TROUSERS,straight fit satin trouser,midrise trouser pocket straightleg design zip fly inside button metal hook fasten,Bottom,satin trouser,satin trouser straight fit satin trouser,10-15°C cool weather
women,TROUSERS,carrot fit trouser,highwaist trouser dart pocket false welt pocket hem tab button zip fly button fastening,Bottom,trouser,trouser carrot fit trouser,10-15°C cool weather
women,TROUSERS,tiedye print flare trouser,highwaist trouser flare hem invisible zip fastening,Bottom,trouser,trouser tiedye print flare trouser,10-15°C cool weather
women,TROUSERS,linen wideleg trouser,highwaist trouser linen fabric pocket false welt pocket straightleg design zip fly button fastening,Bottom,linen trouser,linen trouser linen wideleg trouser,10-15°C cool weather
women,TROUSERS,wrap trouser waist detail,highwaist wrap trouser invisible zip button fasten,Bottom,trouser,trouser wrap trouser waist detail,10-15°C cool weather
women,TROUSERS,parachute trouser,midrise trouser feature elasticate waistband pocket patch pocket leg zip fly metal button fastening,Bottom,trouser,trouser parachute trouser,10-15°C cool weather
women,TROUSERS,jogger trouser,highwaist crop trouser feature elastic waistband drawstre pocket rear patch pocket,Bottom,trouser crop,trouser crop jogger trouser,10-15°C cool weather
women,TROUSERS,embroider cargo trouser,midrise trouser elasticate waistband belt loop pocket patch pocket flap leg adjustable hem elastic drawstring stopper zip fly button fastening,Bottom,belt trouser,belt trouser embroider cargo trouser,10-15°C cool weather
women,TROUSERS,print cargo trouser,midrise trouser cotton feature belt loop pocket multiple patch pocket flap metal zip wideleg design fasten metal hook button zip fly,Bottom,cotton belt trouser,cotton belt trouser print cargo trouser,10-15°C cool weather
women,TROUSERS,highwaist regular trouser,flow highwaist trouser straightleg design invisible zip fastening,Bottom,trouser,trouser highwaist regular trouser,10-15°C cool weather
women,SHORTS_SKORTS,z crossover skort button,highwaist skort crossover pocket rear patch pocket seamless hem fasten hidden zip button,Bottom,skort,skort z crossover skort button,5-10°C cold weather
women,SHORTS_SKORTS,z baggy belt denim bermuda short,highwaist bermuda short elasticate waistband gathering feature pocket rear patch pocket belt turnup hem zip fly button fasten,Bottom,denim belt bermuda denim short short,denim belt bermuda denim short short z baggy belt denim bermuda short,10-15°C cool weather
women,SHORTS_SKORTS,bermuda short cutwork embroidery,highwaist bermuda short elasticate waistband pocket patch pocket,Bottom,bermuda short short,bermuda short short bermuda short cutwork embroidery,10-15°C cool weather
women,SHORTS_SKORTS,texture short,midwaist short feature adjustable elastic drawstre waistband pocket button detail,Bottom,short short,short short texture short,10-15°C cool weather
women,SHORTS_SKORTS,trf highrise mom fit denim bermuda short,highrise mom fithighrise bermuda short fivepocket design zip fly metal button fasten turnup hem,Bottom,denim bermuda denim short short,denim bermuda denim short short trf highrise mom fit denim bermuda short,10-15°C cool weather
women,SHORTS_SKORTS,pleated highwaist bermuda short,highwaist bermuda short dart pocket rear false flap pocket zip fly interior button metal hook fasten,Bottom,bermuda short short,bermuda short short pleated highwaist bermuda short,10-15°C cool weather
women,SHORTS_SKORTS,embroider short,highwaist short linen blend contrast embroidery invisible zip fastening,Bottom,linen short short,linen short short embroider short,10-15°C cool weather
women,SHORTS_SKORTS,trf curve highwaist short,highrise curvedhighrise rigid short fivepocket design rip detail zip metallic button fastening,Bottom,short short,short short trf curve highwaist short,10-15°C cool weather
women,SHORTS_SKORTS,skort,highwaist skort layered wrap detail match fabric invisible zip fastening,Bottom,skort,skort skort,5-10°C cold weather
women,SHORTS_SKORTS,short cutwork embroidery,highwaist short patch pocket match cutwork embroidery detail invisible zip fastening,Bottom,short short,short short short cutwork embroidery,10-15°C cool weather
women,SHORTS_SKORTS,skort slit detail,highwaist skort feature slit invisible zip fastening,Bottom,skort,skort skort slit detail,5-10°C cold weather
women,SHORTS_SKORTS,asymmetric skort,find,Bottom,skort,skort asymmetric skort,10-15°C cool weather
women,SHORTS_SKORTS,box pleat skort,highwaist skort pleat false golden button invisible zip fastening,Bottom,box skort,box skort box pleat skort,10-15°C cool weather
women,SHORTS_SKORTS,linen blend bermuda short elastic waistband,highwaist bermuda short linen blend fabric adjustable elasticate waistband drawstring pocket,Bottom,linen bermuda short short,linen bermuda short short linen blend bermuda short elastic waistband,10-15°C cool weather
women,SHORTS_SKORTS,asymmetric skort,highwaist skort false welt pocket layered wrap detail match fabric invisible zip fastening,Bottom,skort,skort asymmetric skort,10-15°C cool weather
women,SHORTS_SKORTS,skort slit detail,highwaist skort slit invisible zip fastening,Bottom,skort,skort skort slit detail,5-10°C cold weather
women,SHORTS_SKORTS,skort belt,highwaist skort belt detail fabric lined buckle hem vent invisible zip fastening,Bottom,belt skort,belt skort skort belt,10-15°C cool weather
women,SHORTS_SKORTS,embroider short,midrise short cotton contrast cutwork embroidery invisible zip fastening,Bottom,cotton short short,cotton short short embroider short,10-15°C cool weather
women,SHORTS_SKORTS,skort bow,highwaist skort matching bow ruffle hem invisible zip fastening,Bottom,bow skort,bow skort skort bow,10-15°C cool weather
women,SHORTS_SKORTS,highwaist trf denim short,high waist frayedhighwaist short pocket fade effect rip detail fray hem metal button fastening,Bottom,denim denim short short,denim denim short short highwaist trf denim short,10-15°C cool weather
women,SHORTS_SKORTS,cargo skort belt,midrise skort patch pocket detail invisible zip fastening belt metal buckle,Bottom,belt skort,belt skort cargo skort belt,10-15°C cool weather
women,SHORTS_SKORTS,doublefabric bermuda short belt,highwaist bermuda short dart faux leather belt pocket false welt pocket zip fly interior button metal hook fasten,Bottom,faux leather belt bermuda short short,faux leather belt bermuda short short doublefabric bermuda short belt,10-15°C cool weather
women,SHORTS_SKORTS,trf highwaist denim patchwork short,highwaist short pocket rip detail seamless hem zip fly metallic button fastening,Bottom,denim denim short short,denim denim short short trf highwaist denim patchwork short,10-15°C cool weather
women,SHORTS_SKORTS,linen blend skort,highwaist skort linen blend pocket false welt pocket zip fly inside button metal hook fasten,Bottom,linen skort,linen skort linen blend skort,10-15°C cool weather
women,SHORTS_SKORTS,linen bermuda short belt loop,midrise bermuda short linen feature elasticate waistband belt loop pocket dart,Bottom,linen belt bermuda short short,linen belt bermuda short short linen bermuda short belt loop,10-15°C cool weather
women,SHORTS_SKORTS,linen blend highwaist bermuda short,highwaist bermuda short linen blend fabric dart pocket false flap pocket zip fly interior button metal hook fasten,Bottom,linen bermuda short short,linen bermuda short short linen blend highwaist bermuda short,10-15°C cool weather
women,SHORTS_SKORTS,ruffle skort,highwaist mini skirt ruffle invisible zip fastening,Bottom,skirt skort mini,skirt skort mini ruffle skort,10-15°C cool weather
women,SHORTS_SKORTS,trf highwaist denim short,fade highwaist short feature fivepocket design belt loop rip detail fray hem button fastening hide placket,Bottom,denim belt denim short short,denim belt denim short short trf highwaist denim short,10-15°C cool weather
women,SHORTS_SKORTS,linen blend bermuda short,highwaist bermuda short linen blend fabric pocket rear welt pocket zip fly interior button metal hook fasten,Bottom,linen bermuda short short,linen bermuda short short linen blend bermuda short,10-15°C cool weather
women,SHORTS_SKORTS,animal print skort,highwaist skort ruffle trim detail invisible zip fastening,Bottom,skort,skort animal print skort,10-15°C cool weather
women,SHORTS_SKORTS,z denim momfit highwaist short,highwaist short pocket turnup hem zip fly metal button fastening,Bottom,denim denim short short,denim denim short short z denim momfit highwaist short,10-15°C cool weather
women,SHORTS_SKORTS,long pleated bermuda short,long highwaist bermuda short belt loop pocket pleated detail zip inside button metal hook fasten,Bottom,belt bermuda short long short,belt bermuda short long short long pleated bermuda short,10-15°C cool weather
women,SHORTS_SKORTS,wax skort,skort wax fabric midrise box pleat false pocket zip fly metal button fastening,Bottom,box skort,box skort wax skort,5-10°C cold weather
women,SHORTS_SKORTS,box pleat skort,midrise mini skirt shortstyle lining box pleat detail belt match fabric metal buckle invisible zip fastening,Bottom,belt box skirt skort mini,belt box skirt skort mini box pleat skort,10-15°C cool weather
women,SHORTS_SKORTS,midrise trf denim short,midrise frayedmidrise short pocket fade effect rip detail fray hem metal button fastening,Bottom,denim denim short short,denim denim short short midrise trf denim short,10-15°C cool weather
women,SHORTS_SKORTS,trf highwaist metallic short,highwaist short pocket metalliceffect fabric fray hem zip fly metal button fastening,Bottom,short short,short short trf highwaist metallic short,10-15°C cool weather
women,SHORTS_SKORTS,crossover rustic skort,highwaist skort cotton crossover false button invisible zip fastening,Bottom,cotton skort,cotton skort crossover rustic skort,10-15°C cool weather
women,SHORTS_SKORTS,skort button,highwaist skort pleat false button invisible zip fastening,Bottom,skort,skort skort button,5-10°C cold weather
women,SHORTS_SKORTS,paperbag bermuda short turnup hem,highwaist bermuda short feature elasticate waistband gather dart pocket rear patch pocket turnup hem button fastening,Bottom,bermuda short short,bermuda short short paperbag bermuda short turnup hem,10-15°C cool weather
women,SHORTS_SKORTS,skort pocket,midwaist skort feature pocket patch pocket zip fly snapbutton fasten,Bottom,skort,skort skort pocket,5-10°C cold weather
women,SHORTS_SKORTS,linen blend belt bermuda short,bermuda short linen blend high waist belt match fabric patch pocket flap turnup hem zip fly interior button metal hook fasten,Bottom,linen belt bermuda short short,linen belt bermuda short short linen blend belt bermuda short,10-15°C cool weather
women,SHORTS_SKORTS,trf midrise denim bermuda short patch,patch midrisemidrise denim bermuda short,Bottom,denim bermuda denim short short,denim bermuda denim short short trf midrise denim bermuda short patch,10-15°C cool weather
women,SHORTS_SKORTS,dart highwaist bermuda short,highwaist bermuda short dart detail pocket rear false flap pocket zip fly interior button metal hook fasten,Bottom,bermuda short short,bermuda short short dart highwaist bermuda short,10-15°C cool weather
women,SHORTS_SKORTS,z rip denim short,highwaist gather short fivepocket design washedeffect seamless split hem rip zip fly metallic button fastening,Bottom,denim denim short short,denim denim short short z rip denim short,10-15°C cool weather
women,SHORTS_SKORTS,trf highwaist cargo short,highwaist short belt loop patch pocket tab detail zip fly metal button fastening,Bottom,belt short short,belt short short trf highwaist cargo short,10-15°C cool weather
women,SHORTS_SKORTS,z denim skort crossover,highwaist skort pocket fade effect crossover fasten inner fly metal button,Bottom,denim denim skort,denim denim skort z denim skort crossover,10-15°C cool weather
women,SHORTS_SKORTS,short contrast stripe,midwaist short elasticate waistband button detail,Bottom,short short,short short short contrast stripe,10-15°C cool weather
women,SHORTS_SKORTS,linen blend belt bermuda short,highwaist bermuda short linen blend fabric dart pocket zip fly interior button metal hook fasten,Bottom,linen belt bermuda short short,linen belt bermuda short short linen blend belt bermuda short,10-15°C cool weather
women,SHORTS_SKORTS,short cutwork embroidery,highwaist short elastic drawstre waistband cutwork embroidery detail scallop hem,Bottom,short short,short short short cutwork embroidery,10-15°C cool weather
women,SHORTS_SKORTS,trf denim midrise rhinestone short,midrise fade short fivepocket rhinestone appliqué fray hem metal button fly fasten,Bottom,denim denim short short,denim denim short short trf denim midrise rhinestone short,10-15°C cool weather
women,SHORTS_SKORTS,midi pareo bermuda short,highwaist pareo bermuda short vent invisible zip fastening,Bottom,bermuda short midi short,bermuda short midi short midi pareo bermuda short,10-15°C cool weather
women,SHORTS_SKORTS,loose fit denim trf bermuda short,midrise bermuda short midrise bermuda short feature fivepocket design rip detail seamless hem zip fly metal button fastening,Bottom,denim bermuda denim short short,denim bermuda denim short short loose fit denim trf bermuda short,10-15°C cool weather
women,SHORTS_SKORTS,skort pocket,midwaist skort adjustable elasticate waistband drawstring stopper patch pocket,Bottom,skort,skort skort pocket,5-10°C cold weather
women,SHORTS_SKORTS,linen blend highwaist bermuda short,highwaist bermuda short linen blend dart pocket false flap pocket zip fly inside button metal hook fasten,Bottom,linen bermuda short short,linen bermuda short short linen blend highwaist bermuda short,10-15°C cool weather
women,SHORTS_SKORTS,stripe poplin short,midrise short feature adjustable elastic waist tie detail pocket rear welt pocket hem vent button,Bottom,poplin short short,poplin short short stripe poplin short,10-15°C cool weather
women,SHORTS_SKORTS,skort pocket,midrise skort pocket patch pocket flap detail zip fly fasten,Bottom,skort,skort skort pocket,5-10°C cold weather
women,SHORTS_SKORTS,embroider short,midrise short viscose blend adjustable elasticate waistband drawstring contrast embroidery detail,Bottom,viscose short short,viscose short short embroider short,10-15°C cool weather
women,JEANS,marine straight fit highwaist pocket jean,slim fit relaxed leg high waistzw woman jeanshighwaist jean belt loop patch pocket contrast visible topstitche detail seamless hem zip fly button fastening,Bottom,belt jean,belt jean marine straight fit highwaist pocket jean,10-15°C cool weather
women,JEANS,marine straightleg highwaist jean,slim fit relaxed leg high waistzw woman jeanshighwaist jean patch pocket seamless hem zip fly button fastening,Bottom,jean,jean marine straightleg highwaist jean,10-15°C cool weather
women,JEANS,trf wideleg midrise metallic jean,midrise widelegmidrise jean pocket metalliceffect fabric zip fly metal button fastening,Bottom,jean,jean trf wideleg midrise metallic jean,10-15°C cool weather
women,JEANS,trf highwaist metallic jean,high waist loose fithighwaist jean pocket metalliceffect fabric zip fly metallic button fastening,Bottom,jean,jean trf highwaist metallic jean,10-15°C cool weather
women,JEANS,midrise flare crop trf jean,crop midrisemidrise jean pocket seamless crop flare hem zip fly metal button fastening,Bottom,jean crop,jean crop midrise flare crop trf jean,10-15°C cool weather
women,JEANS,z flare highwaist jean,highrise flarefade highrise jean fivepocket design flare hem zip fly metal button fastening,Bottom,jean,jean z flare highwaist jean,10-15°C cool weather
women,JEANS,z wide leg highrise jean,high waist wide leghighwaist jean feature false welt pocket rear patch pocket wideleg design zip fly button fastening,Bottom,jean,jean z wide leg highrise jean,10-15°C cool weather
women,JEANS,z straightfit highwaist length jean,highwaist jean pocket fade effect straight extralong leg zip fly metallic button fastening,Bottom,jean,jean z straightfit highwaist length jean,10-15°C cool weather
women,JEANS,z highwaist mini flare jean,highwaist mini flarefaded highwaist jean pocket flare seamless hem zip fly button fastening,Bottom,jean mini,jean mini z highwaist mini flare jean,10-15°C cool weather
women,JEANS,z highrise straight jean,highwaist straight rigidhighwaist jean fivepocket design fade effect iron crease detail straight leg zip fly button fastening,Bottom,jean,jean z highrise straight jean,10-15°C cool weather
women,JEANS,z flare highwaist jean,highwaist flarefade highwaist jean fivepocket design iron crease detail flare hem zip fly metal button fastening,Bottom,jean,jean z flare highwaist jean,10-15°C cool weather
women,JEANS,highrise skinny sculpt trf jean,high waist skinny ankle lengthhighwaist super stretch jean fivepocket design zip fly metal button fastening,Bottom,jean,jean highrise skinny sculpt trf jean,10-15°C cool weather
women,JEANS,z straightfit highwaist long length jean,highwaist regular reg long length rigid highwaist jean pocket fade effect straightleg longleg design zip fly button fastening,Bottom,jean long longleg,jean long longleg z straightfit highwaist long length jean,10-15°C cool weather
women,JEANS,midrise trf cargo jean,cargo midrisemidrise jean pocket patch pocket leg belt loop zip fly metal button fastening,Bottom,belt jean,belt jean midrise trf cargo jean,10-15°C cool weather
women,JEANS,z highwaist baggy paperbag jean,highrise baggy paperbag carrot leg ankle rigidhighwaist jean elasticate waistband gather detail feature pocket rear patch pocket turnup hem zip button fasten,Bottom,jean,jean z highwaist baggy paperbag jean,10-15°C cool weather
women,JEANS,marine straight fit highwaist pocket jean,slim fit relaxed leg high waistzw woman jeanshighwaist jean belt loop patch pocket contrast visible topstitche detail seamless hem zip fly button fasteningview,Bottom,belt jean,belt jean marine straight fit highwaist pocket jean,10-15°C cool weather
women,JEANS,marine straightleg highwaist jean,slim fit relaxed leg high waistzw woman jeanshighwaist jean patch pocket seamless hem zip fly button fasteningview,Bottom,jean,jean marine straightleg highwaist jean,10-15°C cool weather
women,TROUSERS,belt chino trouser,highwaist trouser dart pocket button false welt pocket zip fly button fasten embossed belt detail,Bottom,belt chino trouser,belt chino trouser belt chino trouser,10-15°C cool weather
women,TROUSERS,carrot fit trouser dart detail,midwaist trouser viscose blend belt loop pocket rear welt pocket dart detail pleated hem contrast button zip fly button fastening,Bottom,viscose belt trouser,viscose belt trouser carrot fit trouser dart detail,10-15°C cool weather
women,JEANS,straightleg midrise crop jean,slim fit straight leg midrisezw woman jeansmidrise fade jean belt loop fivepocket design zip fly metal button fasteningview,Bottom,belt jean crop,belt jean crop straightleg midrise crop jean,10-15°C cool weather
women,SKIRTS,long satin skirt limited edition,highwaist long skirt viscose fabric asymmetric hem tail invisible zip fastening,Bottom,satin viscose skirt long,satin viscose skirt long long satin skirt limited edition,10-15°C cool weather
women,TROUSERS,length flare trouser,highwaist trouser pocket false welt pocket flare hem zip fly interior button metal hook fasten,Bottom,trouser,trouser length flare trouser,10-15°C cool weather
women,TROUSERS,highwaist trouser,highwaist trouser seam detail welt pocket zip fly inside button metal hook fasten,Bottom,trouser,trouser highwaist trouser,10-15°C cool weather
women,JEANS,z straightfit highwaist length jean,highwaist jean pocket fade effect straight extralong leg zip fly metallic button fastening,Bottom,jean,jean z straightfit highwaist length jean,10-15°C cool weather
women,JEANS,z flare highwaist jean,highrise flarefade highrise jean fivepocket design flare hem zip fly metal button fastening,Bottom,jean,jean z flare highwaist jean,10-15°C cool weather
women,SHORTS_SKORTS,pleated highwaist bermuda short,highwaist bermuda short dart pocket rear false flap pocket zip fly interior button metal hook fasten,Bottom,bermuda short short,bermuda short short pleated highwaist bermuda short,10-15°C cool weather
women,TROUSERS,straightleg trouser turnup hem,highwaist trouser feature pocket rear false welt pocket straightleg design turnup hem zip fly interior button metal hook fasten,Bottom,trouser,trouser straightleg trouser turnup hem,10-15°C cool weather
women,TROUSERS,straightleg trouser turnup hem,highwaist trouser pocket false welt pocket straightleg design turnup hem zip fly inside button metal hook fasten,Bottom,trouser,trouser straightleg trouser turnup hem,10-15°C cool weather
women,TROUSERS,straight fit trouser button,highwaist trouser elastic waistband pocket decorative golden button false welt pocket straightleg design,Bottom,trouser,trouser straight fit trouser button,10-15°C cool weather
women,TROUSERS,paperbag trouser belt,highwaist trouser dart pocket patch pocket flap adjustable hem button fasten zip fly interior button metal hook fasten belt buckle metal stud,Bottom,belt trouser,belt trouser paperbag trouser belt,10-15°C cool weather
women,TROUSERS,highwaist regular trouser,flow highwaist trouser straightleg design invisible zip fastening,Bottom,trouser,trouser highwaist regular trouser,10-15°C cool weather
women,TROUSERS,long flow trouser,loosefitte highwaist trouser straightleg design invisible zip fastening,Bottom,trouser long,trouser long long flow trouser,10-15°C cool weather
women,TROUSERS,highwaist wideleg trouser,highwaist trouser viscose blend wideleg design invisible zip fastening,Bottom,viscose trouser,viscose trouser highwaist wideleg trouser,10-15°C cool weather
women,TROUSERS,highwaiste straight cut trouser,highwaist trouser pocket rear welt pocket straightleg design zip fly button metal hook fasten,Bottom,trouser,trouser highwaiste straight cut trouser,10-15°C cool weather
women,TROUSERS,wideleg poplin trouser,midrise trouser cotton elasticate waistband adjustable drawstring inseam pocket wideleg design,Bottom,cotton poplin trouser,cotton poplin trouser wideleg poplin trouser,10-15°C cool weather
women,TROUSERS,doublewaist linen blend trouser,highwaist trouser linen blend double waistband matching fabric belt loop pocket rear welt pocket straight leg zip button fastening,Bottom,linen belt trouser,linen belt trouser doublewaist linen blend trouser,10-15°C cool weather
women,TROUSERS,linenblend flare trouser,midrise trouser lyocell linen blend belt loop pocket zip button fastening,Bottom,linen lyocell belt trouser,linen lyocell belt trouser linenblend flare trouser,10-15°C cool weather
women,TROUSERS,highwaist culotte trouser,highwaist trouser feature pocket rear welt pocket short wide leg design zip fly interior button metal hook fasten,Bottom,short trouser short,short trouser short highwaist culotte trouser,10-15°C cool weather
women,TROUSERS,carrot fit trouser,highwaist trouser dart pocket false welt pocket hem tab button zip fly button fastening,Bottom,trouser,trouser carrot fit trouser,10-15°C cool weather
women,TROUSERS,dart wideleg trouser,highwaist trouser dart pocket rear false welt pocket wideleg design zip fly interior button metal hook fasten,Bottom,trouser,trouser dart wideleg trouser,10-15°C cool weather
women,TROUSERS,length trouser,highwaist trouser feature pocket false rear welt pocket pleated detail zip fly interior button metal hook fasten,Bottom,trouser,trouser length trouser,10-15°C cool weather
women,SKIRTS,midi skirt belt,highwaist skirt belt loop false belt metal clip invisible zip fastening,Bottom,belt skirt midi,belt skirt midi midi skirt belt,10-15°C cool weather
women,SKIRTS,knit midi skirt,highwaist skirt feature elastic waistband vent hem,Bottom,knit skirt knit midi,knit skirt knit midi knit midi skirt,10-15°C cool weather
women,TROUSERS,texture jacquard trouser,highwaist trouser adjustable waistband matching drawstring texture jacquard fabric detail wideleg design,Bottom,trouser,trouser texture jacquard trouser,10-15°C cool weather
women,TROUSERS,straight fit knit trouser,highwaist trouser elastic waistband straightleg design,Bottom,knit trouser knit,knit trouser knit straight fit knit trouser,10-15°C cool weather
women,TROUSERS,straight fit trouser,highwaist trouser pocket false rear pocket straightleg design zip fly interior button metal hook fasten,Bottom,trouser,trouser straight fit trouser,10-15°C cool weather
women,TROUSERS,linen palazzo trouser,highwaist trouser linen elasticate waist adjustable drawstring pocket wideleg design,Bottom,linen trouser,linen trouser linen palazzo trouser,10-15°C cool weather
women,SKIRTS,linen blend midi skirt,midrise midi skirt linen blend flare hem invisible zip fastening,Bottom,linen skirt midi,linen skirt midi linen blend midi skirt,10-15°C cool weather
women,TROUSERS,casual straightleg trouser,midrise trouser cotton blend belt loop pocket rear welt pocket button straightleg design zip fly button metal hook fasten,Bottom,cotton belt trouser,cotton belt trouser casual straightleg trouser,10-15°C cool weather
women,TROUSERS,flow cargo trouser,midrise flow trouser feature adjustable elastic waistband drawstring patch pocket flap pocket contrast visible topstitche detail,Bottom,trouser,trouser flow cargo trouser,10-15°C cool weather
women,TROUSERS,culotte topstitching detail,highwaist trouser cotton blend fabric belt loop match visible topstitching detail wideleg design zip fly button fastening,Bottom,cotton belt trouser,cotton belt trouser culotte topstitching detail,10-15°C cool weather
women,SKIRTS,linen wrap skirt,midrise midi skirt linen contrast pronounce topstitching detail fray trim wrapstyle fasten tie fabric,Bottom,linen skirt midi,linen skirt midi linen wrap skirt,10-15°C cool weather
women,TROUSERS,minimalist wideleg satin trouser,midwaist trouser viscose elasticate waistband adjustable drawstring pocket wideleg design,Bottom,satin viscose trouser,satin viscose trouser minimalist wideleg satin trouser,10-15°C cool weather
women,JEANS,trf mom fit highwaist jean,highwaist ankle lengthfade highwaist jean fivepocket design zip fly metal button fastening,Bottom,jean,jean trf mom fit highwaist jean,10-15°C cool weather
women,SKIRTS,knit midi skirt,midi skirt wool alpaca blend feature elastic highwaist waistband slit hem,Bottom,alpaca knit wool skirt knit midi,alpaca knit wool skirt knit midi knit midi skirt,10-15°C cool weather
women,SKIRTS,knit midi skirt metallic thread,highwaist skirt elastic waistband slit hem metallic thread detail,Bottom,knit skirt knit midi,knit skirt knit midi knit midi skirt metallic thread,10-15°C cool weather
women,SKIRTS,knit midi skirt,highwaist skirt feature elastic waistband vent hem,Bottom,knit skirt knit midi,knit skirt knit midi knit midi skirt,10-15°C cool weather
women,TROUSERS,knit striped culotte,highwaist trouser elastic waistband wideleg design,Bottom,knit trouser knit,knit trouser knit knit striped culotte,10-15°C cool weather
women,SKIRTS,knit semisheer straight skirt,highwaist skirt elastic waistbandthis garment line,Bottom,knit semisheer skirt knit,knit semisheer skirt knit knit semisheer straight skirt,10-15°C cool weather
women,TROUSERS,semisheer knit trouser,highwaist trouser feature elastic waistband adjustable drawstring elasticate cuff hemsthis garment line,Bottom,knit semisheer trouser knit,knit semisheer trouser knit semisheer knit trouser,10-15°C cool weather
women,SKIRTS,pointelle knit mini skirt,highwaist skirt feature adjustable elasticate waistband drawstring ruffle hem,Bottom,knit skirt knit mini,knit skirt knit mini pointelle knit mini skirt,10-15°C cool weather
women,SHORTS_SKORTS,open knit short,highwaist short elastic waistband,Bottom,knit short knit short,knit short knit short open knit short,10-15°C cool weather
women,SKIRTS,knit skirt buckle,highwaist skirt buckle crossover patch pocket flap buckle flare hem,Bottom,knit skirt knit,knit skirt knit knit skirt buckle,10-15°C cool weather
women,TROUSERS,straight fit knit trouser,highwaist trouser elastic waistband straightleg design,Bottom,knit trouser knit,knit trouser knit straight fit knit trouser,10-15°C cool weather
women,SKIRTS,long knit skirt fringing,highwaist skirt fringe hem,Bottom,knit skirt knit long,knit skirt knit long long knit skirt fringing,10-15°C cool weather
women,SKIRTS,knit skirt button,highwaist skirt elasticate waistband flap detail false button,Bottom,knit skirt knit,knit skirt knit knit skirt button,10-15°C cool weather
women,TROUSERS,metallic thread knit straight leg trouser,semisheer highwaist trouser elasticate waistband straightleg designthis garment line,Bottom,knit semisheer trouser knit,knit semisheer trouser knit metallic thread knit straight leg trouser,10-15°C cool weather
women,TROUSERS,pointelle knit trouser,highwaist trouser elastic waistband straightleg design,Bottom,knit trouser knit,knit trouser knit pointelle knit trouser,10-15°C cool weather
women,SKIRTS,knot knit skirt metallic thread,midi skirt knot slit hem metallic thread detail,Bottom,knit skirt knit midi,knit skirt knit midi knot knit skirt metallic thread,10-15°C cool weather
women,SKIRTS,knit cutout skirt,highwaist midi skirt feature elasticate waistband cutout detail rhinestone appliqué slit hem,Bottom,knit skirt knit midi,knit skirt knit midi knit cutout skirt,10-15°C cool weather
women,SKIRTS,knit crochet mini skirt,highwaist short skirt,Bottom,knit short skirt knit mini short,knit short skirt knit mini short knit crochet mini skirt,10-15°C cool weather
women,SHORTS_SKORTS,metallic thread knit short,highwaist short feature adjustable elastic waistband drawstre lining,Bottom,knit short knit short,knit short knit short metallic thread knit short,10-15°C cool weather
women,SKIRTS,tiedye knit midi skirt,highwaist pencil skirt elastic waistband,Bottom,knit pencil skirt knit midi,knit pencil skirt knit midi tiedye knit midi skirt,10-15°C cool weather
women,TROUSERS,fadedeffect plush trouser,fade cotton trouser feature elasticate drawstring waistband seamless hem,Bottom,cotton trouser,cotton trouser fadedeffect plush trouser,10-15°C cool weather
women,TROUSERS,fadedeffect rib trouser,fade highwaist trouser cotton blend feature elasticate waistband vent hem,Bottom,cotton trouser,cotton trouser fadedeffect rib trouser,10-15°C cool weather
women,TROUSERS,fadedeffect rip plush trouser,fadedeffect highwaist trouser cotton blend feature elasticate waistband rip detail,Bottom,cotton trouser,cotton trouser fadedeffect rip plush trouser,10-15°C cool weather
women,TROUSERS,wash effect trouser,fade lowrise trouser elasticate waistband pocket wideleg design,Bottom,trouser,trouser wash effect trouser,rain
women,SKIRTS,fadedeffect midi skirt,skirt faded cotton elasticate drawstring waistband slit hem,Bottom,cotton skirt midi,cotton skirt midi fadedeffect midi skirt,10-15°C cool weather
women,SHORTS,heavy cotton bermuda short,midrise bermuda short cotton blend feature elasticate drawstring waistband pocket,Bottom,cotton bermuda short short,cotton bermuda short short heavy cotton bermuda short,10-15°C cool weather
